move_count,click_count,left_click_count,right_click_count,scroll_count,event_rate,path_length,displacement,straightness,speed_mean,speed_std,speed_max,acceleration_mean,acceleration_std,acceleration_max,direction_change_mean,direction_change_std,click_interval_mean,click_interval_std,click_hold_mean,click_hold_std,double_click_count,scroll_abs_total,scroll_abs_mean,scroll_interval_mean,scroll_interval_std
164,2,2,0,0,51.985979251292726,1561.7258620094526,730.1732671085679,0.4675425341097081,1191.6023542998537,1456.2379163507194,6672.405252550291,23372.90882393691,23646.328548839057,123892.6042951827,10.08733559230276,16.203617642771373,2.111855983734131,0.0,0.0839685201644897,0.0118132829666137,0.0,0.0,0.0,0.0,0.0
91,1,1,0,0,92.29166768208646,720.166763778375,555.0288280801277,0.7706948667946761,1003.8100159663162,848.018945569785,3053.4704240673286,22601.620083100017,23818.958672870365,115201.10016150888,12.494378703941733,16.434384103180445,0.0,0.0,0.032768964767456,0.0,0.0,0.0,0.0,0.0,0.0
398,5,4,1,0,81.34295240408083,4901.746478348151,240.0708228835816,0.0489765890471927,1548.7994362449367,1474.8875844272882,7072.767050768041,35627.001594351415,46317.75592160106,524633.582367952,9.450934328889735,16.49728989431743,0.8958600163459778,0.4086622213142514,0.0643136501312255,0.0193831312460283,0.0,0.0,0.0,0.0,0.0
563,6,5,1,1,73.54351055568884,7009.852805657749,90.82400563727631,0.0129566209384555,1580.6799036388802,1707.4881916739016,15343.283578695738,44239.22803280213,167121.15651051234,3720158.316002999,10.109803052944594,16.681986409074536,1.1694779872894288,0.6580813209599884,0.0615895986557006,0.0187133756875622,0.0,1.0,1.0,0.0,0.0
650,4,4,0,1,66.26924947765436,7682.814872454342,1126.0017761975334,0.1465610970576234,1494.3232177527452,1682.996870833211,15343.283578695738,37451.06208796332,154187.7177231896,3720158.316002999,11.56310024403308,18.83595902952464,2.5735233624776206,1.1378348922678128,0.0562412738800048,0.0085312610141591,0.0,1.0,1.0,0.0,0.0
668,5,4,1,1,67.90032053621927,7709.662347054327,90.24965373894794,0.0117060449182226,1514.4401859422155,2035.9179702104805,18291.77496729176,177937.0473997682,1946135.6534447724,33407117.992024247,14.681915517176485,24.207366242218573,1.4620221853256226,0.8632564026069192,0.0657476902008056,0.0139014977141962,0.0,1.0,1.0,0.0,0.0
629,5,4,1,3,64.20109749285942,6782.982157193156,133.6637572418193,0.0197057509726857,1423.6211881560662,2056.961729570353,18291.77496729176,185029.9379643317,2005515.05104766,33407117.992024247,15.347520054434645,25.80776251646917,1.4620221853256226,0.8632564026069192,0.0657476902008056,0.0139014977141962,0.0,3.0,1.0,0.023993968963623,0.0002877712249755
338,1,1,0,3,34.4552122418878,3783.5336961592857,1160.8828536936878,0.3068250336641947,1393.739930300013,1974.2857671434108,9120.988980264225,26121.969920199488,33107.86447397625,184754.472652289,12.729420555946175,24.839332395419834,0.0,0.0,0.0560972690582275,0.0,0.0,3.0,1.0,0.023993968963623,0.0002877712249755
337,1,1,0,6,34.50010199576968,2610.838922089366,528.4581345764298,0.2024093214274294,963.7075894318928,924.7091429401772,5290.321927429413,18512.390408168216,21148.209125272384,184165.46668261325,12.509520357818172,24.439388732151784,0.0,0.0,0.0715610980987548,0.0,0.0,6.0,1.0,0.1821099758148193,0.3165822896000316
579,4,3,1,6,59.92474230989357,4933.550874533882,486.9630376116857,0.0987043713535625,1065.478327601925,950.5307173914064,5290.321927429413,22192.11915396041,26296.69346412484,266850.92075363174,13.471157212810096,29.66571418818787,1.8131005764007568,1.3004478628361025,0.0739267468452453,0.0087589358858948,0.0,6.0,1.0,0.1821099758148193,0.3165822896000316
